"Source of information [ENTER MULTIPLE CODES IF APPLICABLE] 1=Editor&Publisher, 2=Cision, 3=LION, 4=INN, 5=CCM, 6=BIA/Kelsey, 10=Manual search, 11=Lib of Congress (DON'T USE), 12=OnlineNewspaperDirectory, 13=MichelesList, 14=Mondotimes, 15=ABYZ, 16=NAM, 17=NatlNewspaperAssoc, 18=Other, 19 = NJPA",Name of outlet or organization,"Coverage area (9=not applicable, e.g. 5 or more counties",Munis covered (clean for Zev) 9=coverage area not clear or too diffuse,"Municipality ""character"" code; 6 = even mix of characteristics; 9 = n/a (from Nj State Police 2016 Uniform Crime Report: https://www.njsp.org/ucr/2016/index.shtml, section 7)",Outlet/org URL (homepage) (9=no website),"FREQUENCY 1=daily, 2=weekly, 3=biweekly, 4=monthly, 5=bimonthly, 6=regularly (but not daily), 7=irregularly, 8 annually","Original medium 1=Newspaper 2=Television 3=Radio 4=Online, 5=Magazine",Outlet/org owner (9=Don't know or N/A),"Outlet's language of publication 1=English, 2=Spanish, 3=Arabic, 4=Hindi or other language of India, 5=Mandarin or Cantonese, 6=Other, 7=Multilingual, 8=Tagalog or other Filipino language 9=Don't know/NA, 10=Korean, 11=Polish, 12=Ukranian","Does this outlet serve an ethnic community? 1=yes, 2=no","Is this outlet public media? (1=yes, 2=no)","(for Philly and NYC outlets) Does this outlet serve NJ? (1=yes, 2=no, 9=N/A)",Notes,Other potential variables: staff size,other variable: is the outlet hyperlocal? Y/N
"5, 16, 2",WTTM-AM," Union, Hunterdon, Somerset, Middlesex, Mercer, Monmouth, Ocean, Burlington, Atlantic, Salem, Camden, Gloucester, Cumberland, and Cape May counties",9,9,9,1,3,Multicultural Radio Broadcasting Inc.,2,1,2,1,"provides ""information"" to the Latin community in greater Philly incl. S. Jersey; see: http://www.radiowttm1680.com/index_files/Page650.htm",,
"15, 14, 6, 2",WTXF-TV,9,9,9,http://www.fox29.com/,1,2,Twenty-First Century Fox Inc,1,2,2,1,has local NJ news,,
"14, 16, 2",WURD AM/FM,9,9,9,https://wurdradio.com/,1,3,"Independently owned (WURD Radio, LLC)",1,1,2,1,,,
"15, 6, 5, 2, 16",WUVP-DT,9,9,9,https://www.univision.com/philadelphia/wuvp,1,2,Univision,2,1,2,1,,,
"5, 2",WVLT-FM,9,9,9,https://www.wvlt.com/,1,3,"Clear Communications, Inc.",1,2,2,9,oldies station with some local news talk shows,,
"5, 2",WVNJ-AM,9,9,9,9,1,3,"Universal Broadcasting of New York, Inc.",1,2,2,9,"http://www.wvnj.com/; WVNJ 1160AM, is owned by Universal Broadcasting of New York, Inc. (UBNY). UBNY is family-owned and has been in the broadcasting business for more than 30 years. UBNY also owns WTHE-1520AM licensed to Mineola, NY.
",,
5,WVPH-FM,9,9,9,http://www.thecore.fm/public/index.php,1,3,Rutgers University/Piscataway High School,1,2,2,9,"They have a ""news and public affairs team and they broadcast Democracy Now,"" but it's a good example of a website that has no local news so it will underrepresent the amount of news they have over the air",,
"2, 6",WWOR-TV,9,9,,http://www.my9nj.com,1,2,"Fox Television Stations, LLC",1,2,2,9,"licensed in Patterson NJ, serves broader NY market",,
"2, 16",WWRL-AM,9,9,9,http://radiozindagi.com/newyork/,1,3,"Independently owned (Nimisha and Jeetendra Shukla through licensee NJ Broadcasting, LLC)",4,1,2,1,"technically based in NYC; according to the ethnic media report (Oni) they ""sometimes"" have local news",,
"5, 16, 2",WWRU-AM,9,9,9,https://www.am1660.com/,1,3,"Multicultural Radio Broadcasting Licensee, LLC",10,1,2,1,,,
"2, 16",WWRV-AM,9,9,9,http://www.radiovision.net/,1,3,Radio Vision Cristiana Management,2,1,2,9,,,
"15, 6, 5, 16, 2",WWSI-TV,9,9,9,https://www.telemundo62.com/,1,2,Comcast/NBC,2,1,2,1,,,
"5, 2, 16",WWTR-AM,9,9,9,https://www.ebcmusic.com/,1,3,"EBC Music, Inc.",4,1,2,9,,,
"5, 2, 6, 16",WXTV-TV,9,9,9,9,1,2,Univision Communications,2,1,2,9,NY metro area,,
"18, 2",Wyckoff-Franklin Lakes Daily Voice,"Franklin Lakes (Suburban), Oakland (Suburban), and Wyckoff (Suburban)","Franklin Lakes, Oakland, Wyckoff",Suburban,https://dailyvoice.com/new-jersey/wyckoff,1,4,Cantata Media (Jerry DeMarco),1,2,2,1,,,
"16, 2","Yeshiva World, The",9,9,9,https://www.theyeshivaworld.com/,1,4,Independently owned (Judah (Yehudah) Eckstein),1,1,2,9,,,
16,Zaman Amerika,9,9,9,http://zamanamerika.com/,1,4,Independently owned (Zaman Ltd.),6 (Turkish),1,2,9,,,
